LATITUDE,LONGITUDE,NAME,LOCATION,MAINTAINER,IN_OPERATION,PET_FRIENDLY,PHOTO_NAME
49.30076903,-123.117131,Fountain location:Stanley Park,Brockton point - lighthouse,Parks,spring to fall,,
49.27590962,-123.0855772,Fountain location:Strathcona Park,besides basketball court,Parks,spring to fall,,
49.274827,-123.086689,Fountain location:Strathcona Park,besides baseball diamond,Parks,spring to fall,,
49.266893,-123.035669,Fountain location:Sunrise Park,N-side of wading pool,Parks,spring to fall,,
49.278896,-123.13802,Fountain location:Sunset Beach ,on building wall ,Parks,spring to fall,,English Bay Park - drinking fountain - 2005.jpg
49.2228493,-123.0964822,Fountain location:Sunset Park,front of wading pool,Parks,spring to fall,,
49.269121,-123.134031,Fountain location:Sutcliffe Park,S-side of false creek communit,Parks,spring to fall,,
49.257356,-123.09859,Fountain location:Tea Swamp Park,NE corner of park,Parks,spring to fall,,
49.2296077,-123.070191,Fountain location:Tecumseh Park,middle of park,Parks,spring to fall,,
49.228371,-123.118266,Fountain location:Tisdall Park,near North baseball diamond,Parks,spring to fall,,
49.251273,-123.163837,Fountain location:Trafalgar Park,E-side of wading pool,Parks,spring to fall,,
49.2749603,-123.093122,Fountain location:Trillium Park,on west side of building ,Parks,spring to fall,,
49.2394013,-123.129439,Fountain location:Vandusen Botanical Garden,near reflecting pond,Parks,spring to fall,,
49.2386154,-123.129939,Fountain location:Vandusen Botanical Garden,upper gardens,Parks,spring to fall,,
49.275112,-123.139769,Fountain location:Vanier Park (Burrard Civic Marina),,Parks,year-round,,
49.27161297,-123.0667623,Fountain location:Victoria Park,adjacent to children's play area,Parks,spring to fall,,Victoria Park - drinking fountain - 2007.JPG
49.281845,-123.110066,Fountain location:Victory Square,south corner of park,Parks,spring to fall,,Victory Square - drinking fountain - 2008.JPG
49.263048,-123.073108,Fountain location:W.C. Shelly Park,,Parks,spring to fall,,
49.28519,-123.128045,Fountain location:West End minipark,Bute & Haro,Parks,spring to fall,,West End Minipark @ Bute & Haro - drinking fountain - 2005.JPG
49.281987,-123.136052,Fountain location:West End minipark - JERVIS ST @ BURNABY ST,north end,Parks,spring to fall,,
49.2668536,-123.2051612,Fountain location:West Point Grey Park,In lawn bowling court,Parks,spring to fall,,
49.266021,-123.205262,Fountain location:West Point Grey Park,N-side of wading pool,Parks,spring to fall,,
49.215839,-123.113059,Fountain location:Winona Park,near playground,Parks,spring to fall,,
49.278442,-123.073424,Fountain location:Woodland Park,in front of wading pool,Parks,spring to fall,,
49.2663411,-123.125914,Bottle Filling Station location: Charleson Park Pumping Station,North side of sewage pumping station 900 Charleson,Engineering,Year Round,N,CharlesonParkPumpingStation.jpg
49.257924,-123.041381,Bottle Filling Station location: Grandview Hwy Pumping Station ,,Engineering,Year Round,N,GrandviewHwyPumpingStation.jpg
49.269566,-123.136177,Bottle Filling Station location: Granville Island Pumping Station,North side of sewage pumping station on seawall east of the granville island entrance,Engineering,Year Round,N,GranvilleIslandPumpingStation.jpg
49.2733345,-123.131579,Bottle Filling Station location: Granville St Pumping Station,North side of sewage pumping station under Granville Bridge on bike route,Engineering,Year Round,N,GranvilleStPumpingStation.jpg
49.2737142,-123.1527806,Bottle Filling Station location: Kitsilano Pumping Station,North side of sewage pumping station on w/s/ 1300 Arbutus,Engineering,Year Round,N,KitsilanoPumpingStation.jpg
49.2730368,-123.098886,Bottle Filling Station location: Thornton Park Pumping Station,West side of sewage pumping station on w/s/ 1200 Station St,Engineering,Year Round,N,ThorntonParkPumpingStation.jpg
49.265329,-123.142081,Fountain location:1650 W 7th,"Midblock, outside of 1650 W 7th",Engineering,May-October,Y,1650 w 7th 2.JPG
49.245762,-123.10102,Fountain location:28th & Main,Northeast corner of 28th & Main,Engineering,May-October,N,Main 28th 1.JPG
49.237587,-123.127384,Fountain location:37th & Oak,Southeast corner of 37th & Oak,Engineering,May-October,N,Oak 37th 2.JPG
49.237446,-123.105647,Fountain location:37th & Ontario,Northwest corner of 37th & Ontario,Engineering,May-October,N,Ontario&37th.jpg
49.2371952,-123.0972829,Fountain location:37th & Prince Edward,Northwest corner of 37th & Prince Edward,Engineering,May-October,Y,Prince Ed 37th 4.JPG
49.234752,-123.058912,Fountain location:39th & Nanaimo,Southwest corner of 39th & Nanaimo,Engineering,May-October,N,Nanaimo&39th.jpg
49.26822777,-123.152706,Fountain location:4th & Arbutus,Northeast corner of 4th & Arbutus,Engineering,May-October,N,P3140883.JPG
49.219505,-123.106415,Fountain location:56th & Ontario,Northwest corner of 56th & Ontario,Engineering,May-October,Y,Ontario 56th 2.JPG
49.2646599,-123.112967,Fountain location:7th & Yukon,Southwest corner of 7th & Yukon,Engineering,May-October,N,Yukon&7th.jpg
49.2187548,-123.055044,Fountain location:Ashburn & Elliot,Northwest corner of Ashburn & Elliot,Engineering,May-October,N,Ashburn&Elliot.jpg
49.262875,-123.105026,Fountain location:Broadway & Ontario,Southwest corner of Broadway & Ontario,Engineering,May-October,N,Broadway ON 2.JPG
49.26423514,-123.1666474,Fountain location:Broadway & Stephens,Northwest corner of Broadway & Stephens,Engineering,May-October,N,P3140921.JPG
49.262066,-123.065619,Fountain location:Broadway & Victoria,Southeast corner of Broadway & Victoria,Engineering,May-October,N,Broadway Victoria 2.JPG
49.27924755,-123.1292321,Fountain location:Burrard & Davie,Northwest corner of Burrard & Davie,Engineering,Year Round,N,Davie&Burrard.jpg
49.28451988,-123.1395544,Fountain location:Cardero & Burnaby,In the mini park at Cardero & Burnaby,Engineering,May-October,N,P2080275.JPG
49.2678194,-123.0693907,Fountain location:Commercial & 3rd,Northeast corner of Commercial & 3rd,Engineering,May-October,Y,Commercial&3rd.jpg
49.2867384,-123.136516,Fountain location:Comox & Cardero,Northeast corner of Comox & Cardero,Engineering,Year Round,N,Comox&Cardero.jpg
49.29067407,-123.1426469,Fountain location:Comox & Chilco,In mini park at Comox & Chilco,Engineering,May-October,N,Comox&Chilco.jpg
49.2887857,-123.13969,Fountain location:Comox & Denman,Northwest corner of Comox & Denman,Engineering,Year Round,N,Comox&Denman.jpg
49.28922483,-123.1385485,Fountain location:Denman & Nelson,Southwest corner of Denman & Nelson,Engineering,May-October,N,P3011141.JPG
49.2365274,-123.084037,Fountain location:Elgin & 37th,Northwest corner of Elgin & 37th,Engineering,May-October,N,Elgin&37th.jpg
49.28977703,-123.1412866,Fountain location:Gilford & Comox,Northwest corner of Gilford & Comox,Engineering,May-October,N,Comox&Gilford.jpg
